"Route","Page URI","Image Slot","Display Size (rendered)","Crop Mode","Recommended Upload Size","Format / Notes"
"Shared / all pages","all routes","Logo (navbar)","120px tall (<=768:60, <=480:50)","height-driven, no crop","~360x120","PNG with transparent bg"
"Shared / all pages","all routes","Logo (footer)","50px tall","height-driven","same logo file","reuse"
"Shared / all pages","all routes","Favicon","16x16 tab","square","180x180 square","PNG"
"Shared / all pages","all routes","Apple touch icon","iOS 180px","square","180x180 square","PNG"
"Home","/","Hero banner","full-width x 600px (desktop 1000, mobile 200)","cover (crops)","1920x1080 (16:9)","JPG, web-optimized"
"About","/aboutus","About hero","~570px wide x auto","no crop (whole image)","800x600 (4:3)","keep correct ratio"
"About","/aboutus","Founder 1 avatar","220x220 circle (mob 150)","cover (circle crop)",">=400x400 square","JPG/PNG"
"About","/aboutus","Founder 2 avatar","220x220 circle (mob 150)","cover (circle crop)",">=400x400 square","JPG/PNG"
"About","/aboutus","4 centre cards","card width x 180px","cover","600x400 (3:2)","JPG"
"About","/aboutus","3 team cards","card width x 260px (mob 200)","cover","400x533 (3:4 portrait)","JPG"
"About","/aboutus","7 gallery items","cell width x 200px","cover","600x400 (3:2)","JPG"
"Contact","/contactus","(map iframe only)","no client image","n/a","n/a","no upload needed"
"Legal","/privacy,/terms,/refund","(no images)","logo only","n/a","n/a","no upload needed"
"Blog list","/blogs","Hero mosaic (even)","~184x180","cover","~300x300 (1:1)","JPG"
"Blog list","/blogs","Hero mosaic (odd)","~184x140","cover","300x220 (4:3)","JPG"
"Blog list","/blogs","Featured post","card width x 440px (mob 240)","cover","1200x440+ (3:1)","JPG"
"Blog list","/blogs","Blog card thumbnail","card width x 220px","cover","600x400 (3:2)","JPG"
"Blog list","/blogs","Card author avatar","32x32 circle","cover",">=200x200 square","JPG/PNG"
"Blog list","/blogs","Sidebar recent thumb","66x54","cover","220x180 (11:9)","JPG"
"Blog detail","/blog/{slug}","Blog detail hero","full col width x auto","no crop","1200x700","JPG"
"Blog detail","/blog/{slug}","Author avatar (detail)","56x56 circle","cover",">=200x200 square","JPG/PNG"
"Blog detail","/blog/{slug}","Article body images","container width x auto","no crop","1200x800","JPG"
"Blog detail","/blog/{slug}","Author bio avatar","80x80 circle","cover",">=200x200 square","JPG/PNG"
"Blog detail","/blog/{slug}","Sidebar recent thumb","80x60","cover","400x300 (4:3)","JPG"
"Blog detail","/blog/{slug}","Related card","card width x 200px","cover","600x400 (3:2)","JPG"
"Volunteer","/volunteer","(no img tags)","decorative external bg only","n/a","n/a","no upload needed"
"Merchandise","/merchandise","8 product thumbnails","card width x 240px (mob 180)","cover","400x320 (1.25:1)","JPG"
"Threat Academy","/threat-academy","Academy hero","full-width x 92vh","cover","1920x1080","JPG"
"Threat Academy","/threat-academy","Category card","card x 240px","cover","600x400 (3:2)","JPG"
"Threat Academy","/threat-academy","CTA band bg","cover","cover","1920x800","JPG"
"Threat Academy","/threat-academy","Gallery","420/320/260/400px (varies)","cover","800x530 (3:2)","JPG"
"Course category","/cat_course/{slug}","Hero photo","full-width x 72vh","cover","1920x1080","JPG"
"Course category","/cat_course/{slug}","Single-course feature","42% width x 380px (mob 260)","cover","800x500","JPG"
"Course category","/cat_course/{slug}","Multi-course grid","card x 210px","cover","600x400 (3:2)","JPG"
"Course category","/cat_course/{slug}","CTA band photo","cover","cover","1920x800","JPG"
"Course detail","/course/{slug}","Course hero banner","full-width x 520px (mob 420)","cover","1600x600 (2.7:1)","JPG"
"Course detail","/course/{slug}","Other courses card","card x 160px","cover","600x240 (2.5:1)","JPG"
"Events","/event","Event card","card x 200px","cover","600x400 (3:2)","JPG"
"Events","/event","Gallery","220px","cover","600x400 (3:2)","JPG"
"Event detail","/events/{slug}","Detail hero","full-width x 440px (mob 280)","cover","1600x600","JPG"
"Event detail","/events/{slug}","Other-events card","card x 160px","cover","600x240 (2.5:1)","JPG"
"Skill Assessment","/skill-assessment","(no content images)","CSS only","n/a","n/a","no upload needed"
"Take Test","/take-test/{slug}","(no content images)","CSS only","n/a","n/a","no upload needed"
"Test Result","/test/{slug}/result","(no content images)","canvas/CSS","n/a","n/a","no upload needed"
"Enrollment","/enrollment/{slug}","(no content images)","external Razorpay icon only","n/a","n/a","no upload needed"
"Summercamp Conclave","/cyber-ai-threat-conclave-2026","Hero banner","full-width x 92vh (mob 55vw)","cover","1920x1080 or 1376x495","JPG"
"Summercamp Conclave","/cyber-ai-threat-conclave-2026","About-section","100% width x auto","no crop","1200x700","JPG"
"Summercamp Conclave","/cyber-ai-threat-conclave-2026","Speaker/faculty photo","260px (mob 210)","cover","500x600 (1:1 or 4:5)","JPG"
"Summercamp Conclave","/cyber-ai-threat-conclave-2026","CTA image","100% x 420px","cover","1200x500","JPG"
"Summercamp Conclave","/cyber-ai-threat-conclave-2026","Partners logo","column width, max-h 180px","contain (no crop)","any ratio; SVG preferred","SVG/PNG <=2MB"
"Partners","/cyber-ai-threat-conclave-2026/partners","Partner logo","column width, max-h 180px","contain (no crop)","any ratio; SVG preferred","SVG/PNG <=2MB"
"Workshops list","/workshops","Workshop card","card x 200px","cover","600x400 (3:2)","JPG"
"Workshop detail","/workshops/{school}","Workshop detail hero","full-width x 520px (mob 460) blurred","cover","1600x600","JPG"
"Workshop detail","/workshops/{school}","Related-school thumb","card x 170px","cover","600x400 (3:2)","JPG"
"Workshop detail","/workshops/{school}","Merchandise (detail)","190px","cover","300x200","JPG"
"Workshop register","/workshops/{school}/register","Merchandise (register)","130px","cover","300x200","JPG"
